entity,entity_type,source_url
Cyprus University of Cyprus,ORG,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Etienne Delafons,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Caterina de’,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Медичи Katariina de’,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Медичи Kotryna Mediči Katarina de',PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Mediči Catherine de Médicis,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Katarína Medicejská Katarina Medičejska Catherine de',PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Μεδίκων Catherine de',PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Medicejská Katarzyna Medycejska Katarina,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Caterina de Medici,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barocke Malerei,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Malerei Барокко,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barokkimaalaus,ORG,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barockmåleri,GPE,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barroco Pintura,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barroco Барокова,GPE,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Барокова,GPE,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Μπαρόκ,GPE,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Pittura Barokka,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barokka Baroque,ORG,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
a Man Baroque,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barokno,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Pittura,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Le duc de Roannez,ORG,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
malířství Barokové,ORG,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barokmaleri,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barokke,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barokkimaalaus,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barockmåleri Pintura,PERSON,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
Barokka Portrait,ORG,https://www.europeana.eu/item/1200/043_Id_18?utm_source=api&utm_medium=api&utm_campaign=tionefter
