subject,predicate,object,source_url
Glasdia,related_to,architectuur en,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9992116911001488?utm_source=api&utm_medium=api&utm_campaign=tionefter
Université de Louvain,tussen,1839 en 1939,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9992116911001488?utm_source=api&utm_medium=api&utm_campaign=tionefter
Toegevoegde,related_to,dia,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9992116911001488?utm_source=api&utm_medium=api&utm_campaign=tionefter
France,related_to,Versailles,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9992116911001488?utm_source=api&utm_medium=api&utm_campaign=tionefter
Université de Louvain,related_to,between 1839 and 1939,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9992116911001488?utm_source=api&utm_medium=api&utm_campaign=tionefter
Creation/Construction,related_to,20th century,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9992116911001488?utm_source=api&utm_medium=api&utm_campaign=tionefter
France,related_to,Paris,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9992118579901488?utm_source=api&utm_medium=api&utm_campaign=tionefter
France,related_to,Place Charles de Gaulle,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9992118579901488?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paris,related_to,Place Charles de Gaulle,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9992118579901488?utm_source=api&utm_medium=api&utm_campaign=tionefter
Creatie/Bouw,related_to,1806-1836,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9992118579901488?utm_source=api&utm_medium=api&utm_campaign=tionefter
La Bastille,related_to,Sygn,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
La Bastille,related_to,aut,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Sygn,related_to,aut,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paris,related_to,de Paris,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paris,related_to,le XIIIe,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paris,related_to,M. F. Hoffbauer,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paris,related_to,MM,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
de Paris,related_to,le XIIIe,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
de Paris,related_to,M. F. Hoffbauer,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
de Paris,related_to,MM,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
le XIIIe,related_to,M. F. Hoffbauer,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
le XIIIe,related_to,MM,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
M. F. Hoffbauer,related_to,MM,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Fournier,related_to,Paul Lacroix,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Fournier,related_to,A. de Montaiglon,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Fournier,related_to,A. Bonnardot,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Fournier,related_to,Jules Cousin,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Fournier,related_to,Franklin,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Fournier,related_to,Valentin Dufour,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Fournier,related_to,Paris,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Fournier,related_to,1875-1882,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paul Lacroix,related_to,A. de Montaiglon,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paul Lacroix,related_to,A. Bonnardot,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paul Lacroix,related_to,Jules Cousin,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paul Lacroix,related_to,Franklin,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paul Lacroix,related_to,Valentin Dufour,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paul Lacroix,related_to,Paris,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
Paul Lacroix,related_to,1875-1882,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
A. de Montaiglon,related_to,A. Bonnardot,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
A. de Montaiglon,related_to,Jules Cousin,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
A. de Montaiglon,related_to,Franklin,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
A. de Montaiglon,related_to,Valentin Dufour,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
A. de Montaiglon,related_to,Paris,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
A. de Montaiglon,related_to,1875-1882,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
A. Bonnardot,related_to,Jules Cousin,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
A. Bonnardot,related_to,Franklin,https://www.europeana.eu/item/9200479/item_7894665_?utm_source=api&utm_medium=api&utm_campaign=tionefter
