Private_Entity,External_URI,Confidence
Cyprus University of Cyprus,NEW,0.0
Etienne Delafons,NEW,0.0
Caterina de’,https://www.wikidata.org/entity/Q104754861,0.92
Медичи Katariina de’,NEW,0.0
Медичи Kotryna Mediči Katarina de',NEW,0.0
Mediči Catherine de Médicis,NEW,0.0
Katarína Medicejská Katarina Medičejska Catherine de',NEW,0.0
Μεδίκων Catherine de',NEW,0.0
Medicejská Katarzyna Medycejska Katarina,NEW,0.0
Caterina de Medici,https://www.wikidata.org/entity/Q97166306,0.85
Barocke Malerei,https://www.wikidata.org/entity/Q808561,0.92
Malerei Барокко,NEW,0.0
Barokkimaalaus,https://www.wikidata.org/entity/Q808561,0.92
Barockmåleri,https://www.wikidata.org/entity/Q808561,0.92
Barroco Pintura,NEW,0.0
Barroco Барокова,NEW,0.0
Барокова,https://www.wikidata.org/entity/Q840829,0.92
Μπαρόκ,https://www.wikidata.org/entity/Q37853,0.92
Pittura Barokka,https://www.wikidata.org/entity/Q808561,0.92
Barokka Baroque,NEW,0.0
a Man Baroque,NEW,0.0
Barokno,https://www.wikidata.org/entity/Q808561,0.92
Pittura,https://www.wikidata.org/entity/Q3305213,0.97
Le duc de Roannez,NEW,0.0
malířství Barokové,NEW,0.0
Barokmaleri,https://www.wikidata.org/entity/Q808561,0.92
Barokke,https://www.wikidata.org/entity/Q37853,0.92
Barockmåleri Pintura,NEW,0.0
Barokka Portrait,NEW,0.0
Barokk,https://www.wikidata.org/entity/Q37853,0.92
malířství Barokní malířství Barokové,NEW,0.0
Pictură,https://www.wikidata.org/entity/Q3305213,0.92
Barokmaleri Pintura,NEW,0.0
Palais des Tuileries Palais des Tuileries,NEW,0.0
Paris,https://www.wikidata.org/entity/Q90,0.98
Paris 01,NEW,0.0
Jahrhundert,https://www.wikidata.org/entity/Q1678687,0.92
XVII век XVII век,NEW,0.0
Segle XVII,https://www.wikidata.org/entity/Q7016,0.92
17ος αιώνας 17ος,NEW,0.0
17th century,https://www.wikidata.org/entity/Q7016,0.95
XVII,https://www.wikidata.org/entity/Q40118,0.85
Siglo XVII,https://www.wikidata.org/entity/Q7016,0.92
Secolul al XVII-lea,https://www.wikidata.org/entity/Q7016,0.92
17e,https://www.wikidata.org/entity/Q394224,0.92
2024-08-20T17:10:31.396Z,NEW,0.0
2024-08-20T17:10:31.396Z Portrait,NEW,0.0
Cyprus University of Cyprus Henry IV,NEW,0.0
France,https://www.wikidata.org/entity/Q142,0.98
Henry IV,https://www.wikidata.org/entity/Q936976,0.92
Henri IV,https://www.wikidata.org/entity/Q56648987,0.95
Heracles,https://www.wikidata.org/entity/Q122248,0.95
Hydra,https://www.wikidata.org/entity/Q10578,0.95
Herakles Heinrich IV,NEW,0.0
Анри IV Heraklis Henrikas IV,NEW,0.0
Burbonas Heraklo Henrik IV.,NEW,0.0
Francuske Hērakls Anrī IV,NEW,0.0
Henri IV Héraklész IV,NEW,0.0
Herakles Henrich IV,NEW,0.0
Heraklej Henrik IV,NEW,0.0
Francoski Earcail Anraí IV,NEW,0.0
Ηρακλής Ερρίκος,NEW,0.0
Γαλλίας Heracles Henry IV,NEW,0.0
Eracle Enrico IV di,NEW,0.0
Francouzský Herakles Henryk IV,NEW,0.0
Burbon Herakles Henrik 4,NEW,0.0
Frankrig Heracle Henric al IV-lea al,NEW,0.0
Herakles Hendrik IV van,NEW,0.0
Frankrijk Hugenottenkriege Hugenottkrigen Религиозные,NEW,0.0
Франции Ranskan,NEW,0.0
Guerras,https://www.wikidata.org/entity/Q198,0.85
França Религиозни,NEW,0.0
Франция Γαλλικοί,NEW,0.0
Religion Hugenotski,NEW,0.0
Frantziako Erlijio,https://www.wikidata.org/entity/Q673175,0.92
Gerrak Hugenotské,NEW,0.0
Francúzske,https://www.wikidata.org/entity/Q70972,0.92
III,https://www.wikidata.org/entity/Q201,0.85
Războaiele Religioase Franceze,https://www.wikidata.org/entity/Q673175,0.92
Hugenotenoorlogen Guerres de religió,NEW,0.0
França,https://www.wikidata.org/entity/Q150,0.92
Segle XVI Segle XVII,NEW,0.0
16th century 17th century 17th century,NEW,0.0
Siglo XVI,https://www.wikidata.org/entity/Q7017,0.92
XVI,https://www.wikidata.org/entity/Q40254,0.85
Secolul al XVI-lea,https://www.wikidata.org/entity/Q7017,0.92
Seklu XVII,https://www.wikidata.org/entity/Q7016,0.92
17th century 17th century,NEW,0.0
mendea 1600~ XVI,NEW,0.0
1200_University_of_Cyprus,NEW,0.0
Cyprus University of Cyprus Jean-Marc Nattier,NEW,0.0
France Marie of,NEW,0.0
Medicis,https://www.wikidata.org/entity/Q170022,0.85
Henri IV's,https://www.wikidata.org/entity/Q55499213,0.92
Athena,https://www.wikidata.org/entity/Q1524,0.85
Marie de',https://www.wikidata.org/entity/Q237103,0.85
Marie,https://www.wikidata.org/entity/Q632104,0.95
Athena Maria de’,NEW,0.0
Peter Paul Rubens,https://www.wikidata.org/entity/Q5599,0.95
Медичи Натье,NEW,0.0
Жан-Марк Афина,NEW,0.0
Пауль Рубенс Maria de,NEW,0.0
Atena Peter Paul Rubens Мария,NEW,0.0
Медичи Атина,NEW,0.0
Паул Рубенс Marie de',NEW,0.0
Atėnė Peter Paul Rubens Marija de',NEW,0.0
Rubenss Marie de Médicis Jean-Marc Nattier,NEW,0.0
Pierre Paul Rubens,https://www.wikidata.org/entity/Q5599,0.92
Jean-Marc Nattier Pallasz,NEW,0.0
Jean Marc,https://www.wikidata.org/entity/Q18156749,0.92
Aténa Peter Paul Rubens Marija Medičejska,NEW,0.0
Atena Peter Paul Rubens Marie de',NEW,0.0
Peter Paul Rubens Μαρία,NEW,0.0
Μεδίκων Ζαν-Μαρκ,NEW,0.0
Peter Paul Rubens Maria de',NEW,0.0
Atena Pieter,NEW,0.0
Paul Rubens María de Médici,NEW,0.0
Atenea Pedro,NEW,0.0
Maria Medici Jean-Marc,NEW,0.0
Atena Peter Paul Rubens Marie Medicejská,NEW,0.0
Jean Marc Nattier,https://www.wikidata.org/entity/Q277738,0.92
Maria Medycejska Jean-Marc,NEW,0.0
Atena Peter Paul Rubens Marie,NEW,0.0
Jean-Marc Nattier Athene,NEW,0.0
Peter Paul Rubens Maria de’,NEW,0.0
Peter Paul Rubens Marie de',NEW,0.0
Paperi Бумага,NEW,0.0
Papír,https://www.wikidata.org/entity/Q11472,0.92
Papir Páipéar Paper Papper,NEW,0.0
Papir Hârtie,NEW,0.0
Bibliothèque Nationale de France,https://www.wikidata.org/entity/Q193563,0.95
Paris Paris,https://www.wikidata.org/entity/Q42291481,0.95
Abraham Bosse,https://www.wikidata.org/entity/Q326215,0.98
Hercules,https://www.wikidata.org/entity/Q10448,0.95
Latin Louis,NEW,0.0
Louis XIII,https://www.wikidata.org/entity/Q737533,0.92
Hercules Ludwig XIII,NEW,0.0
Herakles Ludwig XIII,NEW,0.0
Luís XIII de França,https://www.wikidata.org/entity/Q737533,0.92
Heraklis Liudvikas,NEW,0.0
XIII Luj XIII,NEW,0.0
Bourbon Heraklo Luj XIII,NEW,0.0
Bourbon Luijs XIII Hērakls,NEW,0.0
Louis XIII Abraham Bosse XIII,NEW,0.0
Lajos francia,https://www.wikidata.org/entity/Q1127505,0.92
Héraklész XIII,NEW,0.0
Ľudovít XIII,https://www.wikidata.org/entity/Q737533,0.92
Herakles Ľudovít XIII,NEW,0.0
Francoski Heraklej Ludvik XIII,NEW,0.0
Abraham Bosse Ludvig XIII,NEW,0.0
Herakles Ludvig XIII,NEW,0.0
Γαλλίας Ηρακλής Λουδοβίκος,NEW,0.0
Γαλλίας Αβραάμ,NEW,0.0
Heracles Louis XIII,NEW,0.0
Luigi XIII,https://www.wikidata.org/entity/Q737533,0.92
Francia Eracle Luigi XIII,NEW,0.0
Francia Abraham Bosse,NEW,0.0
Louis XIII Herakles Louis XIII,NEW,0.0
Abraham Bosse Ludvig 13,NEW,0.0
Frankrig Herakles Ludvig 13,NEW,0.0
Ludovic al XIII-lea al,https://www.wikidata.org/entity/Q737533,0.92
Frankrijk,https://www.wikidata.org/entity/Q4643641,0.95
Herakles Lodewijk XIII,NEW,0.0
Ludwig XIII,https://www.wikidata.org/entity/Q44192022,0.92
Frankrijk Abraham Bosse,NEW,0.0
mendea 1635~ XVII wiek XVII,NEW,0.0
Hercules IMAGE,NEW,0.0
Cyprus University of Cyprus Fulgence Bienvenüe,NEW,0.0
Fulgence Bienvenüe,https://www.wikidata.org/entity/Q964297,0.95
Paris Muse,https://www.wikidata.org/entity/Q3365279,0.97
Mythologie,https://www.wikidata.org/entity/Q27942638,0.95
Muusa,https://www.wikidata.org/entity/Q33398745,0.95
Mūzos,https://www.wikidata.org/entity/Q66016,0.92
Muza Grčka,NEW,0.0
Múza Grécka,NEW,0.0
Muserna,https://www.wikidata.org/entity/Q66016,0.92
Μούσες,https://www.wikidata.org/entity/Q66016,0.92
Muusad Vanakreeka,NEW,0.0
Musa Greziar,NEW,0.0
Muze,https://www.wikidata.org/entity/Q153306,0.85
Griekse,https://www.wikidata.org/entity/Q110513002,0.85
Miotaseolaíocht,https://www.wikidata.org/entity/Q9134,0.92
Gréige Mitoloġija Griega,NEW,0.0
Mythologie Muse,NEW,0.0
мифология муза kreikkalainen mytologia,NEW,0.0
Grčka,https://www.wikidata.org/entity/Q41,0.92
Muza Mūzas,NEW,0.0
Gréige mitologia grega musa,NEW,0.0
Mitoloġija Griega,https://www.wikidata.org/entity/Q34726,0.92
Múzy Muzy,NEW,0.0
Muze Griekse,NEW,0.0
Parnassus,https://www.wikidata.org/entity/Q105261,0.85
Republiken Frankrike,https://www.wikidata.org/entity/Q142,0.85
Franska,https://www.wikidata.org/entity/Q142,0.85
FR Parnassus,NEW,0.0
Республика Франция,https://www.wikidata.org/entity/Q142,0.85
Республика Парижский,NEW,0.0
Париж (Франция,https://www.wikidata.org/entity/Q90,0.85
Франция Париж,NEW,0.0
FR La France République,NEW,0.0
República Francesa República da França,NEW,0.0
de Ilha de França Ile de,NEW,0.0
França Monte Parnasso Monte Fócida,NEW,0.0
Παρίσι Γαλλική Δημοκρατία Πόλη,NEW,0.0
φωτός Παρνασσός,NEW,0.0
Francuska Francuska,NEW,0.0
Paris Parīze Francijas Republika République,NEW,0.0
Parigi Isola,NEW,0.0
Francia Paris Ville de Paris,NEW,0.0
Lutezia Monte Parnasso Parnasso Monte Parnaso,NEW,0.0
Ville de l'Amour FR-75 DEPARTEMENT DE,NEW,0.0
Francia Köztársaság,https://www.wikidata.org/entity/Q142,0.85
Pariis Paříž Francouzská,NEW,0.0
Francúzska,https://www.wikidata.org/entity/Q142,0.9
Narodowy,https://www.wikidata.org/entity/Q11789729,0.85
Park Narodowy,https://www.wikidata.org/entity/Q46169,0.92
Republica Franceză,https://www.wikidata.org/entity/Q142,0.85
Parnaß Repubblika Franċiża,NEW,0.0
FR Republic of,NEW,0.0
France City,NEW,0.0
Francesa Ile-de-,NEW,0.0
Republiek FR,NEW,0.0
Parnaß Pariisi Ranskan,NEW,0.0
Parnassus Париж Французская,NEW,0.0
Paname Pantruche Ville-Lumière FR République,NEW,0.0
Paríž Francúzska,NEW,0.0
Παρίσι Γαλλική,NEW,0.0
Δημοκρατία Πόλη,NEW,0.0
Paris Paryż,NEW,0.0
Parnassos Paris,NEW,0.0
Frankreich Île-de-,NEW,0.0
Parnasse París Francia Isla de Francia,NEW,0.0
Parijs,https://www.wikidata.org/entity/Q90,0.97
Frankrijk Île-de-,NEW,0.0
Париж Парнас Ranska,NEW,0.0
França Ilha de França,NEW,0.0
Париж Парнас Prancūzija Il de,NEW,0.0
Francúzsko Île-de-,NEW,0.0
Parnas An Fhrainc Île-de-France,NEW,0.0
França Illa de França,NEW,0.0
Γαλλία Ιλ-ντε,NEW,0.0
Franza Pariġi Francia Île-de-,NEW,0.0
Parnassos Frantzia Île-de-,NEW,0.0
Francie Île-de-,NEW,0.0
Francja Île-de-,NEW,0.0
Franța Île-de-,NEW,0.0
Parnassos,https://www.wikidata.org/entity/Q3896313,0.92
Parnasse Franciaország Île-de-,NEW,0.0
Franza Pariġi,NEW,0.0
Francia Île-de-,NEW,0.0
París Francia Isla de Francia,NEW,0.0
Prantsusmaa Île-de-France,NEW,0.0
Jahrhundert XX,NEW,0.0
20th century 20th century,NEW,0.0
XX 20,NEW,0.0
Secolul al XX-lea Secolul al XX-lea,NEW,0.0
2024-08-20T17:10:31.396Z Montparnasse,NEW,0.0
the early 18th century,NEW,0.0
the Tour de France,https://www.wikidata.org/entity/Q35542395,0.92
14th of July,https://www.wikidata.org/entity/Q2691,0.85
The Avenue des Champs Elysées,NEW,0.0
Champs Élysées,https://www.wikidata.org/entity/Q106781659,0.92
the Avenue des Champs Élysées,NEW,0.0
Paris Metall,NEW,0.0
Mythologie Metalli,NEW,0.0
Металл,https://www.wikidata.org/entity/Q11426,0.92
Kovine Grčka,NEW,0.0
Métal,https://www.wikidata.org/entity/Q11426,0.92
Kov Grécka,NEW,0.0
Kovina,https://www.wikidata.org/entity/Q11426,0.97
Miotal Miotaseolaíocht,NEW,0.0
Gréige Metall,NEW,0.0
Metall,https://www.wikidata.org/entity/Q96324480,0.95
Μέταλλο,https://www.wikidata.org/entity/Q11426,0.92
Metal Greek,NEW,0.0
Metallo,https://www.wikidata.org/entity/Q14863977,0.92
Metall Vanakreeka,NEW,0.0
Metal Greziar,NEW,0.0
Metaal Griekse,NEW,0.0
Mythologie Metall,NEW,0.0
Metalli Металл,NEW,0.0
мифология mitologia grega,NEW,0.0
Metal Древногръцка,NEW,0.0
Метал Metalai,NEW,0.0
Gréige Miotal,NEW,0.0
Metal Metallo,https://www.wikidata.org/entity/Q38199958,0.92
Metal Vanakreeka,NEW,0.0
Metall Kov,NEW,0.0
Metal Metal,https://www.wikidata.org/entity/Q100701043,0.85
Париж Французская Республика ФР Французская,NEW,0.0
Шанз-Элизе Ville de Paris,NEW,0.0
Champs-Élysées,https://www.wikidata.org/entity/Q106781659,0.95
Champs-Elysees Champs-Elysees Πόλη,NEW,0.0
