Private_Entity,External_URI,Confidence
Paris,https://www.wikidata.org/entity/Q90,0.98
La Bourse de Paris KU Leuven,NEW,0.0
Université de Louvain,https://www.wikidata.org/entity/Q378134,0.9
1839 en 1939,NEW,0.0
1813-1826,NEW,0.0
France,https://www.wikidata.org/entity/Q142,0.98
Place de la Bourse,https://www.wikidata.org/entity/Q3390344,0.95
19th century,https://www.wikidata.org/entity/Q6955,0.95
KU Leuven,https://www.wikidata.org/entity/Q833670,0.9
between 1839 and 1939,NEW,0.0
Art History,https://www.wikidata.org/entity/Q50637,0.95
Belgium,https://www.wikidata.org/entity/Q31,0.98
18th century,https://www.wikidata.org/entity/Q7015,0.95
18th-19th century,NEW,0.0
Eiffel Tower KU Leuven,NEW,0.0
1887-1889,NEW,0.0
Théâtre-Français KU Leuven,NEW,0.0
1786-1790,NEW,0.0
Rue de Richelieu,https://www.wikidata.org/entity/Q2915495,0.95
1914,https://www.wikidata.org/entity/Q2083,0.95
20th century,https://www.wikidata.org/entity/Q6927,0.95
Porte Saint-Denis KU Leuven,NEW,0.0
1672,https://www.wikidata.org/entity/Q19241361,0.95
17th century,https://www.wikidata.org/entity/Q7016,0.95
Architectuur.,NEW,0.0
Arc de Triomphe KU Leuven,NEW,0.0
Neoclassicisme,https://www.wikidata.org/entity/Q54111,0.85
Place Charles de Gaulle,https://www.wikidata.org/entity/Q390243,0.92
1806-1836,NEW,0.0
Alexandre III KU Leuven,NEW,0.0
1896-1900,NEW,0.0
Hôtel,https://www.wikidata.org/entity/Q27686,0.92
1780,https://www.wikidata.org/entity/Q13634655,0.95
Rue Pierre-Bullet,https://www.wikidata.org/entity/Q943509,0.95
Gartenplan,NEW,0.0
Grundriss,NEW,0.0
Hauptsitz des Naturkundemuseums,NEW,0.0
Paris Plan Topographique,NEW,0.0
Kupferstich,NEW,0.0
Seite XXIV aus,NEW,0.0
De La Ménagerie,NEW,0.0
Des Galeries De Minéralogie Et,NEW,0.0
D'Anatomie,NEW,0.0
Et De La Vallée Suisse,NEW,0.0
1842,https://www.wikidata.org/entity/Q7625,0.95
SLUB Hist.nat,NEW,0.0
Plan Topographique,https://www.wikidata.org/entity/Q137795182,0.92
"Des Galeries De Minéralogie Et D 'Anatomy, Et De La Vallée Suisse",NEW,0.0
B.312-1 Country,NEW,0.0
Germany,https://www.wikidata.org/entity/Q183,0.98
Szoknyalibbentő,NEW,0.0
